,Size,Value,Momentum
AAPL,0.6735492840234086,-0.7917815537826376,-0.22902262008657137
AMZN,0.07256607453432912,0.29271449309091013,0.9137544263353138
GOOGL,0.46188158309937044,-0.47590930875378096,-0.09317499572118744
JNJ,-2.4391233238336207,0.5880614773399305,-2.641662953259972
JPM,-1.5475998054920121,2.5975594883669166,-1.3822374621594298
MSFT,0.5703988811495405,-0.08940470403700278,0.29711654919667313
PG,-2.8601404403209933,0.41360162268535916,-2.0616279033956713
TSLA,-0.8020828279363804,-0.45853033037205004,1.8050743310710409
UNH,-3.0902573175405994,1.9766484798063833,-1.991795434382248
XOM,-2.3086567234352997,3.6706556813192246,-2.3818185669597143
